#Read position (bp)	Clipping profile
0.0	2.005052099778971
1.0	2.005052099778971
2.0	1.6577202399747395
3.0	1.2788127565519418
4.0	1.1998736975055257
5.0	1.089359014840543
6.0	0.9472687085569941
7.0	0.8367540258920114
8.0	0.7578149668455952
9.0	0.6946637196084623
10.0	0.6788759077991791
11.0	0.6788759077991791
12.0	0.6630880959898957
13.0	0.6473002841806126
14.0	0.6473002841806126
15.0	0.6473002841806126
16.0	0.5999368487527629
17.0	0.5683612251341964
18.0	0.5525734133249132
19.0	0.5052099778970635
20.0	0.26839280075781496
21.0	0.25260498894853173
22.0	0.23681717713924852
23.0	0.23681717713924852
24.0	0.1894537417113988
25.0	0.1894537417113988
26.0	0.1420903062835491
27.0	0.1420903062835491
28.0	0.12630249447426586
29.0	0.12630249447426586
30.0	0.12630249447426586
31.0	0.12630249447426586
32.0	0.12630249447426586
33.0	0.12630249447426586
34.0	0.12630249447426586
35.0	3.536469845279444
36.0	0.12630249447426586
37.0	0.11051468266498263
38.0	0.11051468266498263
39.0	0.11051468266498263
40.0	0.11051468266498263
41.0	0.11051468266498263
42.0	0.11051468266498263
43.0	0.0947268708556994
44.0	0.0947268708556994
45.0	0.0947268708556994
46.0	0.0947268708556994
47.0	0.0947268708556994
48.0	0.0947268708556994
49.0	0.11051468266498263
50.0	0.11051468266498263
51.0	0.0947268708556994
52.0	0.0947268708556994
53.0	0.11051468266498263
54.0	0.11051468266498263
55.0	0.11051468266498263
56.0	0.11051468266498263
57.0	0.11051468266498263
58.0	0.11051468266498263
59.0	0.11051468266498263
60.0	0.12630249447426586
61.0	0.12630249447426586
62.0	0.12630249447426586
63.0	0.12630249447426586
64.0	0.12630249447426586
65.0	0.12630249447426586
66.0	0.12630249447426586
67.0	0.12630249447426586
68.0	0.12630249447426586
69.0	0.1420903062835491
70.0	0.1420903062835491
71.0	0.1420903062835491
72.0	0.1420903062835491
73.0	0.1420903062835491
74.0	0.1420903062835491
75.0	0.1420903062835491
76.0	0.1420903062835491
77.0	0.1420903062835491
78.0	0.12630249447426586
79.0	0.12630249447426586
80.0	0.12630249447426586
81.0	0.12630249447426586
82.0	0.12630249447426586
83.0	0.1420903062835491
84.0	0.12630249447426586
85.0	0.1420903062835491
86.0	0.12630249447426586
87.0	0.12630249447426586
88.0	0.12630249447426586
89.0	0.12630249447426586
90.0	0.12630249447426586
91.0	0.12630249447426586
92.0	0.1420903062835491
93.0	0.1420903062835491
94.0	0.1420903062835491
95.0	0.1420903062835491
96.0	0.17366592990211557
97.0	0.17366592990211557
98.0	0.17366592990211557
99.0	0.17366592990211557
100.0	0.17366592990211557
101.0	0.17366592990211557
102.0	0.17366592990211557
103.0	0.17366592990211557
104.0	0.1894537417113988
105.0	0.1894537417113988
106.0	0.1894537417113988
107.0	0.1894537417113988
108.0	0.1894537417113988
109.0	0.20524155352068205
110.0	0.20524155352068205
111.0	0.1894537417113988
112.0	0.1894537417113988
113.0	0.1894537417113988
114.0	0.1894537417113988
115.0	0.1894537417113988
116.0	0.1894537417113988
117.0	0.45784654246921375
118.0	0.6157246605620461
119.0	0.6473002841806126
120.0	0.6473002841806126
121.0	0.6315124723713293
122.0	0.5841490369434796
123.0	0.5999368487527629
124.0	0.6157246605620461
125.0	0.6157246605620461
126.0	0.6157246605620461
127.0	0.5841490369434796
128.0	0.5683612251341964
129.0	0.5683612251341964
130.0	0.5683612251341964
131.0	0.5525734133249132
132.0	0.5209977897063467
133.0	0.5052099778970635
134.0	0.4894221660877802
135.0	0.45784654246921375
136.0	0.45784654246921375
137.0	0.47363435427849704
138.0	0.42627091885064733
139.0	0.3157562361856647
140.0	0.1894537417113988
141.0	0.12630249447426586
142.0	0.12630249447426586
143.0	0.1420903062835491
144.0	0.12630249447426586
145.0	0.11051468266498263
146.0	0.0947268708556994
147.0	0.07893905904641617
148.0	0.07893905904641617
149.0	0.07893905904641617
150.0	0.07893905904641617
151.0	0.07893905904641617
152.0	0.07893905904641617
153.0	0.07893905904641617
154.0	0.07893905904641617
155.0	0.07893905904641617
156.0	0.07893905904641617
157.0	0.06315124723713293
158.0	0.06315124723713293
159.0	0.06315124723713293
160.0	0.2841806125670982
161.0	0.2841806125670982
162.0	0.23681717713924852
163.0	0.1894537417113988
164.0	0.15787811809283234
165.0	0.06315124723713293
166.0	0.06315124723713293
167.0	0.06315124723713293
168.0	0.06315124723713293
169.0	0.06315124723713293
170.0	0.07893905904641617
171.0	0.07893905904641617
172.0	0.07893905904641617
173.0	0.07893905904641617
174.0	0.07893905904641617
175.0	0.45784654246921375
176.0	0.45784654246921375
177.0	0.45784654246921375
178.0	0.4420587306599305
179.0	0.4104831070413641
180.0	0.33154404799494785
181.0	0.29996842437638144
182.0	0.29996842437638144
183.0	0.29996842437638144
184.0	0.29996842437638144
185.0	0.29996842437638144
186.0	0.26839280075781496
187.0	0.25260498894853173
