#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	0.0
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	0.0
20.0	0.0
21.0	2.4813895781637717E-4
22.0	4.1356492969396195E-4
23.0	0.0012406947890818859
24.0	5.789909015715467E-4
25.0	0.0018196856906534326
26.0	0.0033085194375516956
27.0	0.006286186931348222
28.0	0.01248966087675765
29.0	0.016129032258064516
30.0	0.017452440033085194
31.0	0.01381306865177833
32.0	0.027791563275434243
33.0	0.026716294458229945
34.0	0.03631100082712986
35.0	0.04772539288668322
36.0	0.03887510339123243
37.0	0.05053763440860216
38.0	0.04152191894127378
39.0	0.036641852770885025
40.0	0.03068651778329198
41.0	0.032009925558312655
42.0	0.02795698924731183
43.0	0.019768403639371383
44.0	0.02977667493796526
45.0	0.035649296939619525
46.0	0.024648469809760133
47.0	0.025475599669148054
48.0	0.023242349048800657
49.0	0.020430107526881718
50.0	0.017948717948717947
51.0	0.01910669975186104
52.0	0.01687344913151365
53.0	0.019437551695616208
54.0	0.030851943755169562
55.0	0.026633581472291147
56.0	0.009925558312655087
57.0	0.029280397022332504
58.0	0.028205128205128206
59.0	0.022746071133167907
60.0	0.014971050454921423
61.0	0.011414392059553349
62.0	0.015715467328370557
63.0	0.022249793217535153
64.0	0.011662531017369727
65.0	0.008436724565756823
66.0	0.006038047973531844
67.0	0.005541770057899091
68.0	0.015136476426799007
69.0	0.004880066170388751
70.0	0.0028122415219189413
71.0	0.0014061207609594706
72.0	0.0014061207609594706
73.0	8.271298593879239E-4
74.0	0.0017369727047146402
75.0	0.0030603804797353184
76.0	9.925558312655087E-4
77.0	5.789909015715467E-4
78.0	4.1356492969396195E-4
79.0	8.271298593879239E-5
80.0	0.0
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	8.271298593879239E-5
