pop_col	meta_col	matches	pop_uniq	meta_uniq	example
Ancestry	Altitud	0	4	1	
Ancestry	A̱o._de_colecta	0	4	1	
Ancestry	Categ.Altitud	0	4	1	
Ancestry	DivFloristic	0	4	1	
Ancestry	Estado	0	4	1	
Ancestry	Estado.1	0	4	1	
Ancestry	Latitud	0	4	1	
Ancestry	Localidad	0	4	1	
Ancestry	Longitud	0	4	1	
Ancestry	Municipio	0	4	1	
Ancestry	Nombre_comun	0	4	1	
Ancestry	NSiembra	0	4	1	
Ancestry	Num_Colecta	0	4	1	
Ancestry	OrderColecta	0	4	1	
Ancestry	Origen	0	4	1	
Ancestry	PeralesBiog	0	4	1	
Ancestry	Raza	0	4	1	
Ancestry	Raza_Primaria	0	4	1	
Ancestry	Raza_Secundaria	0	4	1	
Ancestry	Rbiogeo	0	4	1	
Ancestry	Ruizetal2008_grupo	0	4	1	
Ancestry	Sanchezetal_grupo	0	4	1	
IndID	Altitud	0	61	1	
IndID	A̱o._de_colecta	0	61	1	
IndID	Categ.Altitud	0	61	1	
IndID	DivFloristic	0	61	1	
IndID	Estado	0	61	1	
IndID	Estado.1	0	61	1	
IndID	Latitud	0	61	1	
IndID	Localidad	0	61	1	
IndID	Longitud	0	61	1	
IndID	Municipio	0	61	1	
IndID	Nombre_comun	0	61	1	
IndID	NSiembra	0	61	1	
IndID	Num_Colecta	0	61	1	
IndID	OrderColecta	0	61	1	
IndID	Origen	0	61	1	
IndID	PeralesBiog	0	61	1	
IndID	Raza	0	61	1	
IndID	Raza_Primaria	0	61	1	
IndID	Raza_Secundaria	0	61	1	
IndID	Rbiogeo	0	61	1	
IndID	Ruizetal2008_grupo	0	61	1	
IndID	Sanchezetal_grupo	0	61	1	
IndLab	Altitud	0	48	1	
IndLab	A̱o._de_colecta	0	48	1	
IndLab	Categ.Altitud	0	48	1	
IndLab	DivFloristic	0	48	1	
IndLab	Estado	0	48	1	
IndLab	Estado.1	0	48	1	
IndLab	Latitud	0	48	1	
IndLab	Localidad	0	48	1	
IndLab	Longitud	0	48	1	
IndLab	Municipio	0	48	1	
IndLab	Nombre_comun	0	48	1	
IndLab	NSiembra	0	48	1	
IndLab	Num_Colecta	0	48	1	
IndLab	OrderColecta	0	48	1	
IndLab	Origen	0	48	1	
IndLab	PeralesBiog	0	48	1	
IndLab	Raza	0	48	1	
IndLab	Raza_Primaria	0	48	1	
IndLab	Raza_Secundaria	0	48	1	
IndLab	Rbiogeo	0	48	1	
IndLab	Ruizetal2008_grupo	0	48	1	
IndLab	Sanchezetal_grupo	0	48	1	
Population	Altitud	0	11	1	
Population	A̱o._de_colecta	0	11	1	
Population	Categ.Altitud	0	11	1	
Population	DivFloristic	0	11	1	
Population	Estado	0	11	1	
Population	Estado.1	0	11	1	
Population	Latitud	0	11	1	
Population	Localidad	0	11	1	
Population	Longitud	0	11	1	
Population	Municipio	0	11	1	
Population	Nombre_comun	0	11	1	
Population	NSiembra	0	11	1	
Population	Num_Colecta	0	11	1	
Population	OrderColecta	0	11	1	
Population	Origen	0	11	1	
Population	PeralesBiog	0	11	1	
Population	Raza	0	11	1	
Population	Raza_Primaria	0	11	1	
Population	Raza_Secundaria	0	11	1	
Population	Rbiogeo	0	11	1	
Population	Ruizetal2008_grupo	0	11	1	
Population	Sanchezetal_grupo	0	11	1	
Region	Altitud	0	4	1	
Region	A̱o._de_colecta	0	4	1	
Region	Categ.Altitud	0	4	1	
Region	DivFloristic	0	4	1	
Region	Estado	0	4	1	
Region	Estado.1	0	4	1	
Region	Latitud	0	4	1	
Region	Localidad	0	4	1	
Region	Longitud	0	4	1	
Region	Municipio	0	4	1	
Region	Nombre_comun	0	4	1	
Region	NSiembra	0	4	1	
Region	Num_Colecta	0	4	1	
Region	OrderColecta	0	4	1	
Region	Origen	0	4	1	
Region	PeralesBiog	0	4	1	
Region	Raza	0	4	1	
Region	Raza_Primaria	0	4	1	
Region	Raza_Secundaria	0	4	1	
Region	Rbiogeo	0	4	1	
Region	Ruizetal2008_grupo	0	4	1	
Region	Sanchezetal_grupo	0	4	1	
Sex	Altitud	0	2	1	
Sex	A̱o._de_colecta	0	2	1	
Sex	Categ.Altitud	0	2	1	
Sex	DivFloristic	0	2	1	
Sex	Estado	0	2	1	
Sex	Estado.1	0	2	1	
Sex	Latitud	0	2	1	
Sex	Localidad	0	2	1	
Sex	Longitud	0	2	1	
Sex	Municipio	0	2	1	
Sex	Nombre_comun	0	2	1	
Sex	NSiembra	0	2	1	
Sex	Num_Colecta	0	2	1	
Sex	OrderColecta	0	2	1	
Sex	Origen	0	2	1	
Sex	PeralesBiog	0	2	1	
Sex	Raza	0	2	1	
Sex	Raza_Primaria	0	2	1	
Sex	Raza_Secundaria	0	2	1	
Sex	Rbiogeo	0	2	1	
Sex	Ruizetal2008_grupo	0	2	1	
Sex	Sanchezetal_grupo	0	2	1	
Source	Altitud	0	2	1	
Source	A̱o._de_colecta	0	2	1	
Source	Categ.Altitud	0	2	1	
Source	DivFloristic	0	2	1	
Source	Estado	0	2	1	
Source	Estado.1	0	2	1	
Source	Latitud	0	2	1	
Source	Localidad	0	2	1	
Source	Longitud	0	2	1	
Source	Municipio	0	2	1	
Source	Nombre_comun	0	2	1	
Source	NSiembra	0	2	1	
Source	Num_Colecta	0	2	1	
Source	OrderColecta	0	2	1	
Source	Origen	0	2	1	
Source	PeralesBiog	0	2	1	
Source	Raza	0	2	1	
Source	Raza_Primaria	0	2	1	
Source	Raza_Secundaria	0	2	1	
Source	Rbiogeo	0	2	1	
Source	Ruizetal2008_grupo	0	2	1	
Source	Sanchezetal_grupo	0	2	1	
