logFC	logCPM	PValue	FDR
Saci_2195	2.20684995776688	11.0927705997396	1.02927302872814e-10	8.54296613844358e-08
Saci_2207	1.36932788985513	9.89460418433025	0.000261715122759092	0.108611775945023
Saci_2057	-1.14348689628657	8.87241522355152	0.000541628664096618	0.149850597066731
Saci_1180	1.48797210844368	8.17850098334313	0.00113928773391529	0.236402204787424
Saci_1894	-1.09947562618601	12.1524959095419	0.00202471619652092	0.336102888622473
Saci_0317	-1.24536685851964	7.65395217154354	0.0047115034094569	0.577439426649283
Saci_0213	0.941399505145304	11.4777632671345	0.00530064963166207	0.577439426649283
Saci_1275	1.18881821521221	8.51178557868687	0.00556568122071598	0.577439426649283
Saci_0286	0.906805145931981	8.96339253782065	0.00806372439979068	0.743654583536252
Saci_0485	-0.780533574196782	9.50084573051417	0.0107394332049315	0.815049814746089
Saci_0158	-0.835090185308312	8.42814228486092	0.0108018650147072	0.815049814746089
Saci_0559	-0.864526853571239	8.4442485717594	0.0144969180197622	0.837857537431643
Saci_1026	0.90340122642099	8.66200652005995	0.0158962479135358	0.837857537431643
Saci_1713	0.847740238442371	10.152744873113	0.0166454449727245	0.837857537431643
Saci_0357	-1.08449416958428	7.75571067079191	0.018550832456356	0.837857537431643
Saci_0721	0.9466358507018	10.2327907699258	0.0192623406369123	0.837857537431643
Saci_0016	0.867965581825694	8.19317719756732	0.0199518118202463	0.837857537431643
Saci_1897	-0.758330649123026	8.98072921701305	0.0219239164881616	0.837857537431643
Saci_1257	1.07818249410054	7.45760002756686	0.0226172473879325	0.837857537431643
Saci_1071	0.775872356662577	10.4105448597829	0.0228901403694283	0.837857537431643
Saci_1660	0.826969526270612	8.74607608931801	0.0229679670900866	0.837857537431643
Saci_0214	-0.709383177313111	10.3656084994081	0.0244911483840416	0.837857537431643
Saci_0099	0.702734297726721	9.42132893239949	0.0250277303877977	0.837857537431643
Saci_2083	0.720065833372465	8.70880088119944	0.025307841140077	0.837857537431643
Saci_0072	0.761050235588346	8.97035285466965	0.0269435809877862	0.837857537431643
Saci_1224	0.710642529625811	14.7708946376951	0.0270048938739905	0.837857537431643
Saci_1626	0.71903307917814	10.7515201506354	0.0272556066393426	0.837857537431643
Saci_1663	0.871565266028158	7.91577141968997	0.0293228220293315	0.869212224440899
Saci_0149	-0.773562646863145	8.06945387003552	0.0310986509890114	0.876502544065763
Saci_0410	0.809569054619028	8.99247225653727	0.0322935181275103	0.876502544065763
Saci_0360	-0.831404216840193	7.93127067386744	0.0328729088416539	0.876502544065763
Saci_0880	0.649895059000554	9.02996208050402	0.0337928691688005	0.876502544065763
Saci_0302	-0.786907382547272	9.49352634626386	0.0416232151131358	0.938710946160945
Saci_1468	-0.817969770551697	7.61899420598237	0.0421801997186669	0.938710946160945
Saci_1165	-0.797418551168706	7.86188811866278	0.0422842671664115	0.938710946160945
Saci_1573	0.823589810678213	11.0277693312466	0.0430717068046838	0.938710946160945
